Date,Open,High,Low,Close,Adj Close,Volume
6/10/2016,214.449997,228.899994,214.449997,222.600006,222.018265,392684
6/13/2016,220.699997,221.899994,216.899994,219.600006,219.026108,114018
6/14/2016,220,224,217.449997,220.25,219.674408,118329
6/15/2016,220.75,228,215.800003,221.300003,220.721664,139185
6/16/2016,219.699997,229,219.199997,222,221.41983,171037
6/17/2016,222.600006,226.5,220,220.949997,220.372574,126538
6/20/2016,218.149994,223.949997,218.149994,220.649994,220.073349,42230
6/21/2016,221.449997,226.149994,220,225.300003,224.711212,88539
6/22/2016,225.300003,232.949997,225.300003,227.550003,226.955338,306537
6/23/2016,227.449997,232,221,222.550003,221.968399,152112
6/24/2016,216,218.75,206.75,216.199997,215.634995,163350
6/27/2016,218,223.75,217,221.300003,220.721664,93736
6/28/2016,222.600006,224.899994,218,219.050003,218.477539,96372
6/29/2016,222,238,222,233.550003,232.939651,490465
6/30/2016,234.899994,249.800003,232,241.199997,240.569656,679062
7/1/2016,241.399994,248,241.399994,245.350006,244.708817,173971
7/4/2016,247,251,242,245.899994,245.25737,247093
7/5/2016,245.899994,248.449997,242,247.399994,246.753448,1087652
7/7/2016,249.600006,251.300003,241.100006,242.949997,242.315079,328546
7/8/2016,244.199997,246.449997,240,240.75,240.120834,63108
7/11/2016,242.5,247.800003,242.5,245.699997,245.057892,93988
7/12/2016,245.5,249.550003,243.199997,246.550003,245.90567,89191
7/13/2016,247.100006,247.949997,240.399994,241.75,241.118225,53086
7/14/2016,241.75,245.399994,240,244.350006,243.711426,69603
7/15/2016,246.5,248.699997,239,241,240.370178,237779
7/18/2016,241.199997,244.449997,238.300003,239.050003,238.425278,63429
7/19/2016,240.949997,251,237.75,248.350006,247.700974,439863
7/20/2016,248.699997,253,245,246.149994,245.506714,290438
7/21/2016,243.300003,257.450012,243.300003,252.899994,252.239075,446120
7/22/2016,253.899994,253.899994,246,247.550003,246.903061,171593
7/25/2016,250.699997,252.5,247.5,248.600006,247.950317,161590
7/26/2016,248.75,250.399994,244,245.149994,244.509323,91248
7/27/2016,245.149994,247.899994,243,243.600006,242.963394,57409
7/28/2016,245.350006,248,242.5,243.100006,242.464691,77615
7/29/2016,242.75,247.5,242,245.550003,244.908295,161683
8/1/2016,245,253.399994,242.550003,245.199997,244.559204,172872
8/2/2016,245.75,253,245.5,249.149994,248.498871,213969
8/3/2016,249,252.350006,244.5,250.199997,249.546127,134404
8/4/2016,252.050003,256.5,248,251,250.34404,495601
8/5/2016,252,281.399994,251.899994,267.25,266.551575,1069181
8/8/2016,268.399994,268.700012,256.200012,258.200012,257.525238,161209
8/9/2016,252.800003,259.299988,251.949997,255.050003,254.383469,2207877
8/10/2016,256,260.950012,250.5,251.199997,250.543518,205222
8/11/2016,251.5,261.5,249.75,258.549988,257.874298,181862
8/12/2016,260.049988,260.700012,253.5,254.600006,253.934647,73472
8/16/2016,255.25,260.950012,253.600006,258.799988,258.123657,144439
8/17/2016,260,264.600006,259,263.399994,262.711639,262492
8/18/2016,264.5,268,262.25,266.049988,265.354706,202803
8/19/2016,266.049988,273,264.399994,270.899994,270.192047,172033
8/22/2016,269.799988,272,265.649994,269.950012,269.244537,150981
8/23/2016,269.799988,270.950012,264.5,266.100006,265.404602,92128
8/24/2016,265,266.100006,259,260.100006,259.420258,87251
8/25/2016,260.200012,281.799988,260.200012,276.75,276.026764,943935
8/26/2016,275,286.649994,270,276.200012,275.47821,492385
8/29/2016,274,284.899994,267.450012,274.049988,273.333801,200724
8/30/2016,274.450012,279.399994,272.350006,275.899994,275.178955,140481
8/31/2016,275.25,286.899994,274,281.950012,281.213165,373286
9/1/2016,281.5,288,277,279.149994,278.420471,107389
9/2/2016,280.799988,293.399994,280.799988,285.5,284.753876,481406
9/6/2016,283.450012,286.5,274.100006,275.25,274.53067,202409
9/7/2016,275.350006,284.799988,275.350006,280.399994,279.667206,283111
9/8/2016,278,282.700012,278,279.950012,279.218414,45659
9/9/2016,278,284,272.649994,274.600006,273.882385,105997
9/12/2016,268.200012,274.399994,267,269.700012,268.995178,68217
9/14/2016,267.950012,276.850006,267,273.200012,272.486053,57864
9/15/2016,272,283.5,271.600006,279.299988,278.570068,206744
9/16/2016,280.75,284.799988,273.200012,274.649994,273.93222,224364
9/19/2016,275,276.799988,269,269.700012,268.995178,112553
9/20/2016,270.049988,275.299988,267.049988,269.600006,268.895447,130356
9/21/2016,278.350006,279,267.899994,268.799988,268.097504,446648
9/22/2016,273,276.799988,269.5,270.600006,269.892822,225915
9/23/2016,271.350006,274.5,268.5,270.100006,269.394135,144561
9/26/2016,270.100006,272.399994,263.649994,268.350006,267.648712,120501
9/27/2016,269,273.850006,261.25,265.799988,265.105347,149831
9/28/2016,267.950012,269.649994,266.600006,268.5,267.798309,76548
9/29/2016,270.950012,271.899994,251,252.600006,251.939865,181314
9/30/2016,254.800003,265.600006,254.449997,262.399994,261.714233,128873
10/3/2016,264.75,272.899994,264.75,269.850006,269.144775,168655
10/4/2016,270.200012,270.799988,266.5,267,266.302246,58925
10/5/2016,267.399994,270,265,265.549988,264.856018,85342
10/6/2016,266.25,269.450012,263.25,263.75,263.06073,62903
10/7/2016,263.200012,273.899994,263.200012,272.899994,272.186798,308917
10/10/2016,273.899994,279,269.700012,272.950012,272.236694,196954
10/13/2016,272.5,272.5,259.649994,264.399994,263.709015,99651
10/14/2016,266,268,260.549988,261.600006,260.916351,98108
10/17/2016,261.399994,265.799988,259.149994,261.600006,260.916351,62404
10/18/2016,261.950012,266.450012,260,260.149994,259.470123,1062398
10/19/2016,270.600006,275,267.299988,269.350006,268.646088,490766
10/20/2016,269.799988,271.899994,266.600006,270.350006,269.643494,71678
10/21/2016,271.100006,277.350006,267,271.600006,270.890228,209347
10/24/2016,272.899994,275,268.5,268.850006,268.1474,58275
10/25/2016,270.200012,272.700012,268.950012,269.950012,269.244537,76485
10/26/2016,269,271.399994,266,267.149994,266.451843,50635
10/27/2016,267.149994,269.850006,261.049988,263.25,262.562042,85067
10/28/2016,250,253,240.100006,250.899994,250.244293,830615
11/1/2016,248,252,242.5,245.100006,244.459473,231234
11/2/2016,242,250.649994,241.149994,243.75,243.112991,96796
11/3/2016,249,249,241.5,244.5,243.861038,127949
11/4/2016,244,248,239.300003,243.25,242.614304,88674
11/7/2016,244.800003,249.5,242.75,247.949997,247.302017,99798
11/8/2016,247.949997,249.899994,245,246.75,246.105148,33745
11/9/2016,229,255.5,220.5,251.5,250.842743,132101
11/10/2016,253,257.950012,249.75,251.699997,251.042206,67165
11/11/2016,246,248.649994,236,237.550003,236.929199,84936
11/15/2016,238,240.949997,225,232.25,231.643051,478481
11/16/2016,235.199997,239,225,236.5,235.881943,51318
11/17/2016,236.949997,239,233.550003,234.550003,233.937042,41265
11/18/2016,234.5,238,227.5,232.600006,231.992142,94756
11/21/2016,232.5,232.600006,215.550003,218.149994,217.579895,98685
11/22/2016,219.600006,223,219.350006,221.149994,220.572052,68805
11/23/2016,221.649994,228.850006,221.449997,224.699997,224.112778,91577
11/24/2016,224.399994,226.949997,221.550003,224.399994,223.813553,47478
11/25/2016,224,230.300003,221.550003,227.949997,227.354279,64734
11/28/2016,226.600006,227.5,221,221.75,221.170486,43093
11/29/2016,221.899994,223.699997,219.300003,220.149994,219.574661,35300
11/30/2016,220.649994,240.5,214.850006,221.050003,220.472321,357087
12/1/2016,224.949997,232.5,221.100006,222.699997,222.117996,111248
12/2/2016,220.199997,225.800003,219,220.75,220.173096,47088
12/5/2016,220.550003,222.100006,218.149994,218.850006,218.278076,27155
12/6/2016,218,221,218,218.899994,218.327927,28208
12/7/2016,221.25,223.800003,217.149994,218.300003,217.729507,50982
12/8/2016,219.050003,224.949997,218.350006,219.350006,218.776764,58905
12/9/2016,221.25,223.449997,217.75,218.199997,217.629761,28473
12/12/2016,218.050003,220.100006,217.449997,217.699997,217.131073,205595
